category,value,question,answer,image,answer_image,,,
Multi Step Linear Equations,100,"Solve 3x + 7 = 22","Subtract 7 from both sides.

3x = 15

Divide by 3.

x = 5

The solution is x = 5.",,,,
Multi Step Linear Equations,200,"Solve 5x − 9 = 16","Add 9 to both sides.

5x = 25

Divide by 5.

x = 5

The solution is x = 5.",,,,
Multi Step Linear Equations,300,"Solve 4(x + 3) = 28","Divide both sides by 4.

x + 3 = 7

Subtract 3.

x = 4

The solution is x = 4.",,,,
Multi Step Linear Equations,400,"Solve 3x − 8 = 2x + 7","Subtract 2x from both sides.

x − 8 = 7

Add 8.

x = 15

The solution is x = 15.",,,,
Multi Step Linear Equations,500,"The difference between three times a number and 5 is 19. Find the number","Let the number be x.

3x − 5 = 19

Add 5.

3x = 24

Divide by 3.

x = 8

The number is 8.",,,,
,,,,,,,,
Slope and Graphing,100,"Find the slope of a line through (2 3) and (6 11)","Slope equals change in y divided by change in x.

11 − 3 = 8
6 − 2 = 4

Slope = 8 ÷ 4

Slope = 2.",,,,
Slope and Graphing,200,"Find the slope of a line through (1 5) and (4 14)","Slope equals change in y divided by change in x.

14 − 5 = 9
4 − 1 = 3

Slope = 9 ÷ 3

Slope = 3.",,,,
Slope and Graphing,300,"Write the equation of a line with slope 2 and y intercept 3","Use slope intercept form.

y = mx + b

Slope m = 2
Intercept b = 3

The equation is y = 2x + 3.",,,,
Slope and Graphing,400,"Find the slope of the line through (3 4) and (7 6)","Slope equals change in y divided by change in x.

6 − 4 = 2
7 − 3 = 4

Slope = 2 ÷ 4

Slope = 1/2.",,,,
Slope and Graphing,500,"A line passes through (2 5) and has slope 3. Find the equation","Use slope intercept form.

y = mx + b

Slope m = 3

Substitute the point (2 5).

5 = 3(2) + b
5 = 6 + b

Subtract 6.

b = −1

The equation is y = 3x − 1.",,,,
,,,,,,,,
Systems of Equations,100,"Solve the system y = x + 4 and x = 3","Substitute x = 3.

y = 3 + 4

y = 7

The solution is (3 7).",,,,
Systems of Equations,200,"Solve the system x + y = 12 and x = 8","Substitute x = 8.

8 + y = 12

Subtract 8.

y = 4

The solution is (8 4).",,,,
Systems of Equations,300,"Solve the system y = 2x and x + y = 9","Substitute y = 2x.

x + 2x = 9

3x = 9

x = 3

Find y.

y = 6

The solution is (3 6).",,,,
Systems of Equations,400,"Solve the system x + y = 10 and x − y = 2","Add the equations.

x + y + x − y = 10 + 2

2x = 12

x = 6

Substitute.

6 + y = 10

y = 4

The solution is (6 4).",,,,
Systems of Equations,500,"Solve the system 2x + y = 11 and x − y = 1","Add the equations.

2x + y + x − y = 11 + 1

3x = 12

x = 4

Substitute.

4 − y = 1

y = 3

The solution is (4 3).",,,,
,,,,,,,,
Exponent Rules,100,"Evaluate 3^2","3^2 means 3 × 3.

3 × 3 = 9

The value is 9.",,,,
Exponent Rules,200,"Evaluate 2^5","2^5 means multiply 2 five times.

2 × 2 × 2 × 2 × 2 = 32

The value is 32.",,,,
Exponent Rules,300,"Evaluate 2^3 × 2^2","Add the exponents.

2^5

2^5 = 32

The value is 32.",,,,
Exponent Rules,400,"Evaluate (3^2)^2","Multiply the exponents.

3^4

3 × 3 × 3 × 3 = 81

The value is 81.",,,,
Exponent Rules,500,"Evaluate 4^3 ÷ 4^1","Subtract the exponents.

4^(3 − 1)

4^2 = 16

The value is 16.",,,,
,,,,,,,,
Pythagorean and Distance,100,"Find the hypotenuse of a right triangle with legs 5 and 12","Use the Pythagorean theorem.

5^2 + 12^2 = 25 + 144

169

Square root of 169 = 13

The hypotenuse is 13.",,,,
Pythagorean and Distance,200,"Find the distance between (0 0) and (3 4)","Use the Pythagorean relationship.

3^2 + 4^2 = 9 + 16

25

Square root of 25 = 5

The distance is 5.",,,,
Pythagorean and Distance,300,"Find the distance between (2 1) and (5 5)","Horizontal change = 3
Vertical change = 4

3^2 + 4^2 = 25

Square root of 25 = 5

The distance is 5.",,,,
Pythagorean and Distance,400,"A right triangle has legs 8 and 15. Find the hypotenuse","Use the Pythagorean theorem.

8^2 + 15^2 = 64 + 225

289

Square root of 289 = 17

The hypotenuse is 17.",,,,
Pythagorean and Distance,500,"A ladder 25 feet long rests against a wall. The base is 7 feet from the wall. How high does the ladder reach","Use the Pythagorean theorem.

7^2 + h^2 = 25^2

49 + h^2 = 625

Subtract 49.

h^2 = 576

Square root of 576 = 24

The ladder reaches 24 feet.",,,,